porti|携带
akushigi|接生
akushintino|产妇
akushistino|助产士
akustiko|声学\n音响
akuta|急性\n尖锐
akuta abdomena malsano|急腹症
akuta apendicito|急性阑尾炎
akuta infekto|急性传染
akuta malsano|急性病
akuzanto|原告
akuzi|控告
akuzito|被告
akva kvalito|水质
akva vojo|水路
akvaj animaloj|水族
akvarelo|水彩画
akvario|水族馆
akvedukto|渡槽
akvmelono|西瓜
akvo|水
akvobarajho|水坝\n堰
akvobirdo|水鸟
akvodislimo|分水岭
akvodismeto|排水量
akvoellasa kluzo|泄水闸
akvofalo|瀑布
akvofonto|水源
akvohejtado|水暖
akvohorlogho|水钟
akvokirlo|旋涡
akvokluzo|水闸
akvokomputilo|水表
akvokondukilo|水管
akvokonservejo|水库
akvolando|水乡
akvolilio|睡莲
akvomarko|水印
akvomastrumado|水利
akvometro|水表
akvonivelo|水位
akvopilko|水球
akvopipo|水烟袋
akvoproduktajho|水产
akvopumpilo|水泵
akvorado|水轮
akvorezervejo|水库
akvorezista|抗水
akvorozo|睡莲
akvosistemo|水系
akvotenejo|水库
akvotreti|踩水
akvoutiligo|水利
akvovojo|水道
akvujo|水缸\n蓄水池
akvumi|灌溉\n浇\n浇水
akvumveturilo|洒水车
al chiu law lia bezono|按需分配
al chiu law lia laboro|按劳分配
alabastro|雪花石膏
Alaho|真主
alarmi|报警\n警报
alarmilo|警报器
alarmsonorilo|警铃\n警钟
alawdo|百灵鸟\n云雀
albordighi|靠岸
albumo|画册
albumo de fotoj|影集
aldo|女低音
aldona|附加\n另加
aldono|增刊
alelekti|补选
aleno|锥子
aleo|林荫道
alezmashino|镗床
alfabeto|字母表
alfluo|涨潮
alfoghi|锻接
algebro|代数
alghustigi|调整
alglui|黏上\n贴上
algo|水藻
alia|别人\n另—个\n其他\n其余
alia homo|别人
alianci|结盟\n联合
aliancita lando|盟国
alianco|联盟\n同盟
alie|反之\n否则
alighi|参加\n加入
alighi al la armeo|参军
aliigi|改变
alilanda|外国
alineo|缩进
aliri|走向
aliulo|别人
alivesti|化装\n假扮\n乔装\n装扮
aljughi|判归
alkalkuli|算入\n算上
alkalo|碱
alkoholajho|酒
alkoholo|酒精
alkonduki|牵来
alkutimighi|习惯于
alloga|迷人
allogi|引诱
almanako|黄历\n历书
almanghajho|副食
almenaw|至少
almopeti|讨饭
almozdoni|布施
almozpeti|行乞\n要饭
almozulo|乞丐
almozupeti|乞讨
alnomo|别名
alojo|合金
alojshtalo|合金钢
alplandajho|靶垫
alpreni|采取
alproksimighi|逼近
alprunti|借给
alsendi|补寄
alshtelighi|溜近
alta|崇高\n高\n高级
alta interezo|重利
alta kvalito|优质
alta lernejo|大学
alta premo|高压
alta procento|重利
alta proteino|高蛋白
alta tajdo|高潮
alta tensio|高压
altano|平台
altaro|圣坛
alte taksi|赏识
altebenajho|高原
alteco|个子
altenergia fiziko|高能物理学
alterighi|登陆\n着陆
alterna membro de la Centra Komitato de la Partio|中央候补委员
alterni|交替\n轮流
altforno|高炉
altfrekvenca|高频
altighi|上涨
altigi|提高
altigi prezon|涨价
altiri|牵来\n吸引
altkalkanumaj shuoj|高跟鞋
altklasa|上等\n优等
altmonta reakcio|高山反应
altnivela|高超\n高级
altprema politiko|高压政策
altranga|高级
altrapida|高速
altrudi|强加
altsalto|跳高
altstatura|魁伟
alttensia lineo|高压电线
altvalora|无价之宝
aluda signifo|寓意
aludi|暗示\n影射
alumeto|火柴
aluminio|铝
aluno|白矾\n明矾
aluvio|冲积层
alveni|到来\n抵达\n来到
alvente|顶风\n逆风
alvoki|召唤\n召见
alvoko|号召
amajistino|荡妇
amant(in)o|恋人
amanto|爱好者
amara|苦\n苦味\n辛酸
amase|纷纷
amasigi|堆积\n积存\n积聚
amasloghejo|集体宿舍
amaso|堆\n群\n群众
amastombejo|万人坑
amat(in)o|爱人\n对象\n恋人\n情人
amatoro|爱好者\n业余爱好者
ambasado|使馆\n使节团\n外交使团
ambasadorejo|大使馆\n使馆
ambasadoro|大使
ambaw|两者\n双方
ambaw manoj|双手
ambaw seksa|两性
ambaw trancha|双刃
ambawseksa|雌雄同体
ambicio|抱负\n雄心\n野心\n志气
ambiciulo|野心家
ambirdoj|鸳鸯
ambulanco|救护车
ambulatorio|门诊部
amelo|淀粉
amendi|修正
amendo|修正案
Ameriko|美洲
amfibia planto|两栖植物
amfibio|两栖动物
ami|爱\n恋爱\n热爱\n喜爱\n喜欢\n钟爱
amika sento|情谊
amikeco|交情\n情谊\n友好\n友谊
amikino|女朋友
amiko|朋友\n友人
aminda|可爱\n抚媚
amkanto|情歌
amletero|情书
amnestio|大赦
amo|爱情\n慈爱\n性爱
amoniaka akvo|氨水
amoro|性爱\n性欲
ampermetro|安培表
amplekso|范围
amputi|截肢
amrendevuo|幽会
amuza vespero|晚会
amuzi|逗趣\n逗笑\n娱乐
amuzigi|消遣
amuzkunveno|联欢会
amvendistino|妓女
amzorgi|爱护
analfabeto|文盲
analitiko|解析论
analiza geometrio|解析几何学
analiza teorio de nombroj|解析数论
analizi|分析\n剖析
analoga|类似
analogio|类推
ananaso|菠萝
anarkiismo|无政府主义\n无政府主义
anarkiisto|无政府主义者
anarkio|无政府
anaso|鸭
anasovo|鸭蛋
anatomio|解剖学
anatomo|解剖学家
anchinstrumento|簧乐器
anekdoto|轶事
aneksi|并吞\n兼并\n吞并
anemio|贫血
anestezi|麻醉
anestezino|麻醉剂
anghelo|天使
angino|喉炎
angio|脉管\n血管
angiopinchilo|止血钳
angla lingvo|英语
angla mejlo|英里
angulfero|角铁
angulo|角\n角度\n角落
animalo|动物
animo|精神\n灵魂\n心灵
animstato|情绪
ankri|停泊
ankro|锚
anodo|阳极
anonc-letero|通函
anonci|通知\n宣告
anonci bonajn novajhojn|报喜
anonci jughon|宣判
anonci verdikton|宣判
anoncisto|报幕员
anonco|布告\n公告\n启事\n通告
anonima|匿名
anormala|反常\n畸型
ansero|鹅\n傻瓜
anso|把手\n柄\n拉手\n门把手
anstataui|接替
anstatawi|代替\n顶替\n换\n取代\n替代
anstatawigi|顶替
antagonisma|敌视
antagonismo|敌对\n对抗
antagonisto|对手
antaw la morto|临终
antaw morto|生前
antaw tagigho|拂晓
antawa|以前
antawbrako|前臂
antawchambro|接待室\n前厅
antawdate|提前
antawdestinismo|宿命论
antawdiri|预告\n预言
antawe|从前\n前面\n前头\n已往\n优先\n原先
antawen pushi|推进
antaweniri|前进
antawenmarshi|前进
antawfiksi|预定
antawgardi|提防\n预防
antawhieraw|前天
antawhistorio|史前史
antawira|先进
antawiranto|先驱
antawjugho|成见\n偏见
antawkalkuli|预计
antawkondicho|先决条件
antawkorto|前院
antawlonge|早已
antawmolaro|前臼齿
antawpago|押金
antawparolo|开场白\n前言\n序言
antawparolo (enkonduko) kaj postskribo|题跋
antawparolo de awtoro|自序
antawrimedo|预防措施
antawscenejo|前台
antawscii|预知
antawsenti|预感
antawsigno|预兆
antawtagmeze|午前
antawtagmezo|上午
antawtempe|提前
antawtuko|围裙
antawulo|前辈\n前人
antawurbo|城郊\n郊区\n市郊
antawvespero|前夕\n前夜
antawvespero (antawtago) de novjaro|除夕
antawvida|远虑
antawvidi|预见\n预知
anteno|天线
antibiotiko|抗生素
anticipe|提前
antidoto|解毒剂
antikva|古老\n远古
antikva kostumo|古装
antikva objekto|古物
antikvajhisto|古董商
antikvajho|古董\n古物
antikveco|古代
antikvulo|古人
antilopo|羚羊
antipatii|厌恶
antipatio|反感
antisepsi|杀菌
antologio|文学作品选\n选本
antonimo|反义词
antropoidoj|类人猿
antropologio|人类学
anuso|肛门
aorto|大动脉\n中枢\n主动脉
apacho|流氓
aparato|机关\n器官\n器械\n仪器\n装置
aparta|独特\n特殊\n特有\n专门
apartamento|公寓
aparte|特别
aparteni|归于\n属于
apartigi|分开\n隔离
apartigita de strio da akvo|一衣带水
apatia|冷淡\n冷漠\n无动于衷
apelacii|呼吁\n上诉\n申诉
apendicito|阑尾炎
apendico|附录\n阑尾
aperi|出现\n问世\n兴起
aperigi|出版\n发表\n刊载
aperturo|孔\n口子
apetito|食欲\n胃口
apio|芹菜
aplawdi|鼓掌\n拍手赞成
aplikebla|适用
apliki|采用\n使用\n应用\n用\n运用
aplomba|冷静\n镇静的
aplombe|沉着
aplombo|镇定
apogbrako|扶手
apogi|支持
apogpunkto|据点\n支点
apogrelo|扶手\n栏杆
apologiisto|辨护人
apopleksio|中风
apostrofo|省略号
apoteko|药房
apozicio|同位语
apreci|鉴赏\n欣赏
aprezi|鉴赏\n赏识
aprilo|四月
apriora|先验
apriorismo|先验论
apro|野猪
aprobi|认可\n通过\n同意\n拥护\n赞成\n赞同
apud|靠近
apuda|旁边
apude|近旁\n邻近
arakido|花生\n落花生
arako|酒
araneo|蜘蛛
aranghi|安排\n安置\n办理\n布置\n料理\n排列
aranghi funebran|治丧
arbarkulturo|造林
arbaro|丛林\n林\n森林\n树林
arbedo|灌木
arbidejo|苗圃
arbidkulturejo|苗圃
arbido|树苗
arbire|独断
arbitra|任性\n专横
arbitre|悍然\n蛮横\n武断
arbo|乔木\n树
arbokrono|树冠
arbopinto|树梢
arbostumpo|树墩
arbusto|灌木
archo|弓弦
arda|火热\n激烈
arda batalo|酣战
ardanta|轰轰烈烈
ardezkrajono|石笔
ardi|白热\n灼热
ardo|热情
areno|竞技场
areo|面积
aresti|逮捕\n缉拿\n拘捕\n扣留\n捉拿
argano|吊车\n起重机
arghenta dolaro|银元
arghenta fisho|银鱼
arghenta medalo|银牌
arghenta vulpo|银狐
arghento|白银\n银
argila skulpturo|泥塑
argilajho|陶瓷\n陶器
argilo|黏土\n陶土
argumentado|辩论
argumenti|争辩
argumento|理由\n论点\n论证\n说法
arhato|罗汉
ariergardo|后卫
ariero|殿军
ario|歌调
aristokrato|贵族
aritmetiko|算术
arka ponto|拱桥
arka pordo|拱门
arka shtonponto|石拱桥
arkaika|陈腐
arkaismo|古语
arkeologio|考古学
arkitekto|建筑师
arkitekturo|建筑学
arkivo|案卷\n档案
arklampo|弧光灯
arko|弓\n弧\n弧光
arkpafi|射箭
arlekeno|丑角\n小丑
armea atasheo|武官
armea flago|军旗
armea uniformo|军服
armeano|军人
armeestro|军长
armeo|部队\n队伍\n军\n军队
armi|武装\n装备
armilara konkurso|军备竞赛
armilaro|军备
armilo|武器
armistico|停战\n休战
armita batalo|武装斗争
armita betono|钢筋混凝土
armita forto|武力
armita levigho|武装起义
armitaj fortoj|军队\n武装部队\n武装力量
aro|群
aroganta|高傲\n骄傲\n狂妄\n盛气凌人\n自大的
aroganta kaj arbitra|骄横
arogante|傲慢
aroma|芳香\n芬芳
aromajho|香料
aroneajho|蜘蛛网
arsenalo|兵工厂\n军火库
arseniko|砒霜
arta fajrajho|烟火\n焰火
artajho|艺术品
artawiranto|先行者
artefarita|假\n人造
artefarita membro|假肢
arterio|动脉
arteriosklerozo|动脉硬化
artifiki|耍手腕
artifiko|把戏\n诡计\n花招\n机谋\n手段\n手法
artiko|关节
artikolo|冠词\n条款\n条目\n文章
artileriano|炮兵
artileriisto|炮兵
artilerio|炮队
artisto|艺人\n艺术家
arto|艺术
artosketado|花样滑冰
artrito|关节炎
arvikolo|田鼠
asbesto|石棉
asekuri|保险
asekuro|保险单
asembleo|议会
asepsi|防腐\n杀菌
aserti|断言\n主张
asesoro|陪审官
asfalto|柏油\n地沥青\n沥青
asfiksii|窒息
asfiksio|假死
asigni|指定\n指派
asimili|同化\n吸取\n吸收\n消化
asistanto|副手\n助理\n助手
asisti|协助
askarido|蛔虫
asocio|社会团体\n社团\n协会\n学会
aspekti|显得
aspekto|景象\n面貌\n面目\n客貌\n神态\n外表\n外观\n外貌\n相貌\n样子\n姿容
asperga krucho|喷壶
aspergi|浇\n洒
aspiri|渴望\n热望\n想望\n向往\n追求
aspirino|阿司匹林
aspiro|志气\n志愿
asterio|海星
astigmataj okulvitroj|散光眼镜
astigmatismo|散光
astmo|气喘
astragalo|黄芪
astro|天体
astronomio|天文学
astronomo|天文学家
ataki|打击\n攻打\n攻击\n进攻\n侵袭\n袭击
ataki de ambaw flankoj|夹攻
atavismo|反祖性
ateismo|无神论
ateisto|无神论者
atenci|触犯\n谋害\n侵犯\n伤害
atenci konstitucion|违背宪法
atendejo|候车室\n候诊室
atendi|等待\n等候\n期待
atendi la alvenon de|迎候
atendita|预期
atente|审慎\n仔细
atentema|细心
atentemo|小心
atenti|当心\n留心\n重视\n注意
atentigi|提醒
atestajho|证据
atestanto|证人
atesti|证明\n证实
atesto|见证\n证据\n证明书\n证言\n执照
atesto de merito|奖状
atingi|达到\n到达\n抵达
atingi la normon|及格
atingi rekte|直达
atingo|成果\n成绩\n成就
Atlantiko|大西洋
atlaso|缎子
atletiko|竞技\n田径赛
atleto|力士\n田径运动员
atmosfera premo|大气压\n气压
atmosfero|大气\n大气压\n环境\n气氛
atombombo|原子弹
atomkerno|原子核
atomo|原子
atribui|归咎
atributo|属性
atuto|王牌
augusto|八月
Avalokitesvaro|观音
avanci|升级
avangarda|先进
avangardo|尖兵\n前锋\n前卫\n先锋队
avantagho|便利\n利益\n优越
avanulo|前锋\n前卫
avara|吝啬\n贪婪\n小气
avarulo|财迷\n守财奴
avelo|榛子
avena floko|麦片
avena grio|麦片
aveno|燕麦
aventuristo|冒险家
aventuro|冒险
avenuo|林荫道\n马路
averti|叮嘱\n警告\n劝告\n预告
aviadilo|飞机
aviadilshipo|航空母舰
aviado|航空
avida|贪婪
avinjo|祖母
avino|姥姥\n奶奶\n外祖母\n祖母
avizi|通知
avo|姥爷\n外祖父\n爷爷\n祖父
aw|或者
awdaci|大胆\n胆敢
awdi|听见
awdienco|接见
awdilo|听筒
awditorio|礼堂
awdkapablo|听力
awdovida|直观的
awguri|预见\n占卜
awguristo|算命先生\n占卜者
awguro|先兆\n预兆
awkcio|拍卖
awreomicino|金霉素
awrori|破晓
awroro|黎明\n曙光\n天明
awskultanto|听众
awskulti|倾听\n听
awspicio|预兆\n赞助
awspicioj|主办
awtarcio|自给自足
awtenta|真的
awtentika|真的\n其实的
awtentikigi|认证\n证明
awtisto|汽车司机\n司机
awto|车辆\n汽车
awtobiografio|自传
awtobuso|公共汽车
awtocaro|旅行汽车
awtografo|亲笔\n手稿\n手迹
awtokorpo|汽车喇叭
awtokrateco|独裁
awtokratio|专制政治
awtokratismo|独裁\n专制主义
awtokrato|专制君主
awtomate|机械地\n自动地
awtomato|自动装置
awtomobilo|汽车
awtonoma|自治的
awtonomeco|自治
awtonomio|自治
awtoritato|当局\n权\n权力\n权威
awtoritatulo|权威
awtoro|著者\n作者
awtostcio|车站
awtovoja ponto|公路桥
awtuna plugado|秋耕
awtuna rikolto|秋收
awtuna semado|秋播
awtuno|秋季\n秋天
azeno|驴\n毛驴\n傻瓜
azilo|避难所\n收容所
Azio|亚洲
B-tipa encefalito|乙型脑炎
babili|聊天\n饶舌\n谈天
babiti|闲谈
babordo|左舷
babusho|拖鞋
bacilo|杆菌
bagatela|渺小
bagatelo|琐事\n小事
bajoneto|刺刀\n枪刺
bakforno|烤炉
baki|焙\n烘烤\n烤
baki panon|烤面包
bakshisho|小费
bakteria armilo|细菌武器
bakterio|细菌
bakujo|烤炉
balaajho|垃圾
balai|打扫\n扫\n扫除\n扫荡
balailo|扫帚\n笤帚
balancchevalo|木马
balanci|摇摆
balanci la kapon|点头
balancighi|摆动
balancilo|秋千
balasto|包袱\n累赘
balbuti|结巴\n磕巴\n口吃
baldaw|不久
baleno|鲸
baleto|芭蕾舞\n舞剧
balgoblovilo|风箱
balistiko|弹道学
balko|阳台
balkono|露台
balo|舞会
balono|气球
baloti|投票
balotilo|选票
balotrajto|选举权
balotujo|票箱\n投票箱
balustrado|栏杆
balzamino|凤仙花
balzamo|香脂
bambua fluto|笛子
bambua stango|竹竿
bambuido|笋\n竹笋
bambuo|竹\n竹子
bambuplektita mato|篾席
banala|老套
banano|香蕉
bananujo|香蕉树
banchambro|浴室
bandaghi|包扎
bandagho|绷带
banderolo|纸带
bandito|盗匪\n匪徒\n寇\n强盗\n土匪
bando|伙
banejo|浴池\n浴室\n澡房\n澡堂
bani|洗澡
bankbileto|钞票\n票子\n纸币
bankedo|聚餐\n筵席\n宴会\n宴席
bankiero|银行家\n银行主
banko|银行
bankroti|倒闭\n破产
bankuvo|浴盆\n澡盆
banujo|澡盆
bapti|洗礼
baptofilo|教子
baptopatro|教父
baptujo|洗礼盆
barajho|堤坝
barako|兵营\n工棚\n营房
barakti|挣扎
barbarajho|暴行\n兽行\n野蛮行为
barbarismo|野蛮
barbaro|暴徒\n未开化人\n野蛮人
barbiro|理发师
barbisto|理发师
barbo|胡子
barelbendo|桶箍
bareliefo|半浮雕
barelighi|大腹便便
barelringego|桶箍
baremo|计算表
bargho|驳船
bari|妨碍\n拦截\n阻挡\n阻挠
bariero|栅栏
barilo|围篱\n栅栏\n障碍物
baritono|男中音
barko|小船\n小舟
baro|阻碍\n阻力
barometro|气压表
basa sterko|底肥
basbalo|棒球
basenco|盆地
baseno|池\n流域\n水池
basko|下摆
baskulo|跷跷板
baskulponto|吊桥
baso|男低音
bastardo|私生子
bastiono|堡垒
bastono|棒\n棍
batalakiro|战利品
batalanto|战士
batalejo|沙场
batalema|好战
batalforto|战斗力
batali|打仗\n斗争\n奋斗\n战斗\n争斗\n作战
batali brave|奋战
batali kontraw|抵抗\n对付
batali kontraw diluvo|抗洪
batali kontraw sekegeco|抗旱
batali por|争取
batali pro|争夺
batali pro hegemonio|争霸
batalilo|武器
batalionestro|营长
bataliono|营
batalisto|武士
batalkampo|疆场\n沙场\n战场
batallinio|战线
batalo|搏斗\n战役
batalpovo|战斗力
batalshipo|战斗舰
batalvolo|斗志
batato|白薯\n地瓜\n番薯\n红薯
bati|打\n殴打\n拍打\n敲\n敲打\n揍
batilo|拍子
batmortigi|打死
baza|根本\n基本
bazangula shtono|基石
bazaro|集市\n商场\n市场\n市集
bazarreto|网兜
bazartago|集日
bazloko|根据地\n基地
bazo|底子\n地基\n根基\n基础\n基地\n柱石
bebo|娃娃\n小儿\n婴儿\n幼儿
bedawri|懊悔\n抱歉
bedawro|歉意\n惋惜\n遗憾
Begi|抚育
beko|喙\n乌咀
bela|标致\n美丽\n漂亮\n俏丽\n秀美\n秀气\n优美的
beladono|颠茄
belarto|美术
belega|华丽\n精彩
beleta|俏丽
belgrajno|美人痣
beligi|修饰
belshmirajho|化妆品
belskribado|书法
belsona|好听\n悦耳
belulino|美人
bendo|带子\n轮胎
bendsegilo|条锯
beni|祝福
benko|长凳
benzino|汽油
benzintamburo|汽油桶
beribero|脚气病
bero|浆果
bestajho|兽行
besto|动物\n兽
beto|糖萝卜\n甜菜
betono|混凝土
betulo|桦树
bezonajho|必需品
bezoni|需求\n需要
Biblio|圣经
bibliografio|图书目录
biblioteko|藏书室\n图书馆\n文库
bicikla pumpilo|气筒
biciklo|脚踏车\n自行车
bieno|地产\n庄园
bienula klaso|地主阶级
bienularo|地主阶级
bienulo|地主
bifsteko|牛排
bigamio|重婚
bilda gazeto|画报
bildkadro|镜架
bildkarto|图片
bildlibro|画册
bildo|景象\n图画\n图象\n形象
bildrakonto|连环画
biletejo|售票处
bileto|票\n券
biliono|兆
bilo|票据\n证券
bindi|精装\n装订
binoklo|望远镜
biografio|传记
biografo|传记作者
biokemio|生物化学
biologio|生物学
bioniko|仿生学
birdkagho|鸟笼
birdo|鸟
birdotinligilo|稻草人
birdpluma bildo|羽毛画
birdregardi|鸟瞰
biskvito|饼干
bitumo|柏油\n沥青
bivaki|露营
bivo|琵琶
bizara|离奇
blanka|白色
blanka marmoro|汉白玉
blanka spaco|空白处
blanka sukero|白糖
blankigi|漂白
blasfemi|骂\n辱骂\n亵渎\n咒骂
blato|蟑螂
blazono|纹章
bleki|叫\n嘶
blekl|吼
blero|啤酒
blinda|盲\n盲目\n瞎
blindiga|夺目\n耀眼
blindludo|捉迷藏
blindulo|盲人\n瞎子
blizardo|暴风雷
blokadi|封锁
blokado|拦网
blokado de salajroj|冻结工资
bloki|阻塞
bloko|集团\n块\n片
blondaj haroj|金发
blovi|吹
blovilo por fajro|鼓风机
blovinstrumento|管乐器
blua|蓝色\n青色\n蔚蓝
blubildo|蓝图
boatisto|船夫
boato|船\n艇\n小船\n小舟
bobenego|绞盘
bobeno|卷筒\n线圈\n线轴
bodisatvo|菩萨
bofilino|儿媳\n媳妇
bofilo|女婿
bofratino|嫂嫂
bojkoti|抵制
boksi|拳击
boli|沸腾
bolighi|烧开
boligi|烧开
bolinta akvo|开水
bolpunkto|沸点
bolshevismo|布尔什维主义
bolto|插销\n螺栓
bombardi|轰炸\n开炮\n炮击
bombasta|虚夸
bombasto|大话\n夸张
bombo|炸弹
bombono|糖果
bona|好\n优良
bona afero|好事
bona awguro|吉兆
bona homo|好人
bona instruisto|良师
bona intenco|好意
bona kvalito|优质
bonan matenon|早安
bonan nokton|晚安
bone|平安\n通晓\n妥善
bone akceptata|受欢迎
bone koni|精通\n熟悉
bone memori|牢记
bone sidi sur|合身
bone zorgi|爱护
bonedukita|有教养
bonega|出色\n高超\n精良\n绝妙\n优秀的
bonega opinio|卓见
bonfari|行善
bonfaro|善事
bongusta|好吃\n美味
bonhava|富裕\n小康\n有钱
bonhava mezkamparano|富裕中农
bonighi|好转
bonigi|改善
bonkonduta|正派的
bonkonduto|美德
bonkora|慈悲\n好心\n仁慈\n善良
bonkoreco|善心
bonkorulo|好人
bono|益处
bonodoro|香味
bonorda|整齐
bonorde|井井有条
bonshanco|运气
bonshanco kaj malfelicho|吉凶
bonstato|福利
bonteni|保养
bonvena|受欢迎
bonvenigi|欢迎\n迎接
bonvola|善意
bonvolo|心意
bonzino|尼姑
bonzo|和尚\n僧
boparenco|亲家
bopatrino|婆婆\n岳母\n丈母
bopatro|岳父\n丈人
bordelo|妓院
borderi|镶边
bordo|岸\n河岸\n畔
bori|穿孔\n打眼\n钻
bormashino|钻机
borso|交易所
bosko|树丛
botanika ghardeno|植物园
botaniko|植物学
botelo|瓶子\n细颈瓶
boto|靴子
bova|牛排
bova bezoaro|牛黄
bova pokso|牛痘
bovajho|牛肉
bovido|牛犊
bovina|牛痘
bovina lakto|牛奶
bovkomo|牛角
bovlo|碗
bovo|黄牛\n牛
